loan_amnt,purpose,Zip Code,State,emp_length,label
5000,iamheatherleigh,405xx,KY,5 years,0
2500,Paying for college,331xx,FL,< 1 year,0
1000,alivrum,434xx,OH,< 1 year,0
5000,wbnd44,436xx,OH,1 year,0
5000,skyydogg,535xx,WI,1 year,0
1500,Svengar7,191xx,PA,< 1 year,0
1000,sopinksolovely,113xx,NY,2 years,0
1000,angelbabe,104xx,NY,< 1 year,0
8000,K9Genetics,852xx,AZ,1 year,0
3500,zminer,805xx,CO,< 1 year,0
2500,moecheeks21,674xx,KS,< 1 year,0
25000,Lilly,852xx,AZ,4 years,0
4500,QuisyFBaby,212xx,MD,< 1 year,0
2000,thesassaman,980xx,WA,< 1 year,0
10000,regan117,182xx,PA,1 year,0
3500,manx203,151xx,PA,< 1 year,0
5000,eswist,773xx,TX,1 year,0
11000,Consolidate Prosper,972xx,OR,1 year,0
1500,matt12amazing,660xx,KS,< 1 year,0
1500,dEs,303xx,GA,1 year,0
1000,I'm trying to repair my credit by paying off some old debts.,722xx,AR,< 1 year,0
7000,jd2427,300xx,GA,< 1 year,0
25000,Annieb6283,191xx,PA,< 1 year,0
10000,LenaPresley,282xx,NC,< 1 year,0
4000,bhissam,261xx,WV,1 year,0
2500,Jonelle's Study Abroad,112xx,NY,< 1 year,0
3000,belle54304,543xx,WI,1 year,0
1000,KB143,372xx,TN,3 years,0
7500,fsallustio,021xx,MA,7 years,0
2000,mlishuslymotvatd,137xx,NY,< 1 year,0
1000,Gballgamer,805xx,CO,< 1 year,0
1100,MATTHEW,334xx,FL,4 years,0
3000,saxman6160,800xx,CO,< 1 year,0
1000,queenlurline,846xx,UT,< 1 year,0
7000,chrisw1025,278xx,NC,2 years,0
1000,ErikBell,800xx,CO,4 years,0
5000,baileykearns,450xx,OH,2 years,0
1300,kimbbarr,085xx,NJ,2 years,0
500,Kiana_Noelle,207xx,MD,4 years,0
1000,Raistlan,980xx,WA,7 years,0
1000,chynadoll3586,480xx,AL,1 year,0
3000,Keith24601,081xx,NJ,< 1 year,0
2000,nicole38,212xx,MD,1 year,0
5000,Butterfly,236xx,VA,2 years,0
2000,speedy079,085xx,NJ,5 years,0
10000,demarishargett,283xx,NC,3 years,0
6700,LoveLearn,302xx,GA,2 years,0
20000,Back To School,079xx,NJ,< 1 year,0
3400,scooterodell,145xx,NY,9 years,0
5000,crazymacguy,539xx,WI,< 1 year,0
8000,TheresaF,441xx,OH,< 1 year,0
6000,tjudith,232xx,VA,< 1 year,0
5000,1OTH-MOUNTAIN-MAN,136xx,NY,< 1 year,0
9500,moneywise,998xx,AK,1 year,0
3500,tmsworld,100xx,NY,< 1 year,0
1500,Sapphieangel008,452xx,OH,< 1 year,0
10000,FSUgirl,323xx,FL,< 1 year,0
10000,GRNGLD08,233xx,VA,< 1 year,0
800,mozizzle86,112xx,NY,< 1 year,0
10000,brianmikalw,136xx,NY,< 1 year,0
5000,thephotoguy.seth,337xx,TN,< 1 year,0
6000,Chase,354xx,AL,< 1 year,0
1000,sgeorges86,292xx,SC,< 1 year,0
1000,meep737,430xx,OH,1 year,0
15000,laurel,136xx,NY,< 1 year,0
2500,kyrstyn,171xx,PA,< 1 year,0
16000,Eagle8XC Tuition loan,056xx,VT,1 year,0
2000,Emmyboo0569,238xx,VA,1 year,0
4000,jweme,328xx,FL,< 1 year,0
2000,Bizounce,554xx,MN,< 1 year,0
3000,lmhsfan,805xx,CO,< 1 year,0
6000,Chuck Ave,641xx,MO,< 1 year,0
2500,RebelGrad07,388xx,MS,7 years,0
3000,mtalty,462xx,IN,3 years,0
6000,brint,752xx,TX,< 1 year,0
17000,Consolidating credit cards,212xx,MD,4 years,0
5000,jedurs,231xx,VA,< 1 year,0
7500,Charles,322xx,FL,6 years,0
15000,vervec,024xx,MA,8 years,0
4000,Debt Consolidation,558xx,MN,< 1 year,0
4000,Nickolae3,403xx,KY,< 1 year,0
1000,Alison,803xx,CO,< 1 year,0
1500,jaja9487,457xx,OH,1 year,0
6500,Sammy,021xx,MA,9 years,0
5000,Mattd,300xx,GA,1 year,0
4000,mattwalker,235xx,VA,4 years,0
1500,nfields1,395xx,MS,< 1 year,0
1000,luckyspirit,658xx,MO,1 year,0
10000,ali82fla,336xx,FL,2 years,0
6000,dirtbag05,240xx,VA,< 1 year,0
25000,peytongunn,287xx,NC,< 1 year,0
10000,ejsejsejs,641xx,MO,1 year,0
4975,triple007,302xx,GA,8 years,0
25000,Friend in need,463xx,IN,1 year,0
5000,B_lucas,191xx,PA,< 1 year,0
15000,Oldhouserenovator,014xx,MA,2 years,0
3000,keep0njeepin0n,299xx,SC,4 years,0
3000,arod76,292xx,SC,3 years,0
12000,Tony_Texan,802xx,CO,< 1 year,0
14000,enturio,112xx,NY,3 years,0
25000,AdamDJohnson,773xx,TX,4 years,0
1000,PackAttack25,283xx,NC,< 1 year,0
11000,jar73186,660xx,KS,1 year,0
1000,iamjames,630xx,MO,2 years,0
5000,Hotspitta4life,125xx,NY,< 1 year,0
5000,SadRobot,981xx,WA,4 years,0
3000,Debonair,984xx,WA,1 year,0
1000,jessicavk,462xx,IN,2 years,0
4000,Chris Anthony,473xx,IN,4 years,0
12000,Responsible34,752xx,TX,< 1 year,0
2000,lizoplex,372xx,TN,< 1 year,0
2500,kmdones,206xx,MD,< 1 year,0
2000,evolution333,278xx,NC,< 1 year,0
7000,ctg5ny,306xx,GA,2 years,0
15000,Tumalu,750xx,TX,1 year,0
5000,MizzDavis,432xx,OH,1 year,0
2500,djdecibal,557xx,MN,1 year,0
2000,bleitheiser,532xx,WI,< 1 year,0
5000,I need to refinance credit card debt that I got paying some legal fees,774xx,TX,< 1 year,0
3000,Selly,257xx,WV,2 years,0
2500,Lady_Neasha,631xx,MO,1 year,0
25000,emy,331xx,FL,7 years,0
22000,Stomping,197xx,DE,2 years,0
2500,trenee02,372xx,TN,< 1 year,0
2000,jackie1625,431xx,OH,1 year,0
15000,TDudai4,325xx,FL,10+ years,0
5000,levi,652xx,MO,< 1 year,0
15000,jfernando1,328xx,FL,3 years,0
5000,Stacked186,148xx,NY,< 1 year,0
9000,RKurth34,991xx,WA,3 years,0
1000,mansplace,706xx,LA,< 1 year,0
3000,AWoodard,644xx,MO,1 year,0
1000,young1jay,067xx,CT,< 1 year,0
1500,chrislee4life,991xx,WA,4 years,0
10000,topdog1203,537xx,WI,2 years,0
10000,hungwilfredo,333xx,FL,3 years,0
3000,jaj0165,354xx,AL,10+ years,0
17000,caterik,481xx,MI,< 1 year,0
1000,smollieolliepop,760xx,TX,< 1 year,0
7000,Mom wants to get rid of credit card,508xx,IA,7 years,0
3000,whyte_smoke_187,703xx,LA,1 year,0
1000,December Purchases & Christmas Shopping,010xx,MA,< 1 year,0
10000,Jay,220xx,VA,1 year,0
4000,ThePegLeg,796xx,TX,< 1 year,0
5000,Dbrow113,300xx,GA,2 years,0
1800,ffadahunsi,112xx,NY,< 1 year,0
10000,strehlj,336xx,FL,3 years,0
25000,Tasia_Audre,276xx,NC,< 1 year,0
5200,jags1677,605xx,IL,< 1 year,0
5000,Vetri,132xx,NY,1 year,0
2150,KapSig,532xx,WI,1 year,0
5000,christinam84,127xx,NY,1 year,0
23000,Trying to consolidate debt,984xx,WA,1 year,0
25000,JoeMattie,997xx,AK,1 year,0
2000,Jlb7557,925xx,CA,1 year,0
5000,Nerdular,982xx,UT,< 1 year,0
5000,clogteachr,482xx,MI,8 years,0
25000,ajo,560xx,MN,2 years,0
3000,JoelBacon,481xx,OH,2 years,0
5000,Looking for some help to pay healthcare ,115xx,NY,3 years,0
5000,drulover4eva2000,212xx,MD,10+ years,0
1000,drsray55,257xx,WV,2 years,0
3500,mqs0420,350xx,AL,< 1 year,0
7500,mrwilson,640xx,MO,3 years,0
1000,jeremysegars,752xx,TX,< 1 year,0
1500,asquit,660xx,KS,1 year,0
10000,Loan Consolidation,926xx,CA,1 year,0
4000,musicjunkieg,100xx,NY,< 1 year,0
12000,incognito,014xx,MA,5 years,0
8000,One Payment Plan,672xx,KS,< 1 year,0
1300,micdavhen,277xx,NC,1 year,0
3000,echolis,142xx,NY,5 years,0
2200,velodave,432xx,OH,2 years,0
25000,callana,021xx,MA,2 years,0
10000,SFPT,546xx,WI,< 1 year,0
1000,BrianMc21,314xx,GA,< 1 year,0
7500,DonGuzz,021xx,MA,5 years,0
1000,ninjaone,752xx,TX,< 1 year,0
5000,operaprincess86,021xx,MA,1 year,0
10000,flippidot,100xx,NY,2 years,0
3000,digitalkp,114xx,NY,< 1 year,0
20000,zu,333xx,FL,3 years,0
8500,wxman,735xx,OK,1 year,0
1000,andyasstronaut,787xx,TX,3 years,0
20000,RexMundi,981xx,WA,4 years,0
3500,Kristen811,135xx,NY,7 years,0
8000,reveiled,334xx,FL,< 1 year,0
9000,insanebeauty222,049xx,ME,< 1 year,0
4500,lwilli2480,958xx,CO,10+ years,0
1000,audralea,720xx,AR,< 1 year,0
25000,wendylou65,453xx,OH,10+ years,0
4000,aliciaversteeg,452xx,OH,< 1 year,0
20000,iltschi58,201xx,VA,10+ years,0
5000,VTNurse,052xx,VT,2 years,0
25000,betsy1120,331xx,FL,2 years,0
4000,Forex,773xx,TX,2 years,0
11000,personal loan,104xx,NY,10+ years,0
7000,clean slate,216xx,MD,10+ years,0
4000,prettybaby80,104xx,NY,7 years,0
1400,good person,104xx,NY,9 years,0
15000,pap0607,296xx,SC,2 years,0
5000,skywater,857xx,AR,8 years,0
7500,coffeeman,211xx,MD,6 years,0
2000,biblioteach,287xx,NC,10+ years,0
20000,DHaywood,104xx,NY,< 1 year,0
9000,mareliz,018xx,MA,< 1 year,0
10000,Moanablu,550xx,MN,5 years,0
20000,aujosh02,368xx,AL,2 years,0
1000,Rockstar,467xx,IN,1 year,0
15000,Choppee,294xx,SC,1 year,0
15000,alc1978,917xx,CO,< 1 year,0
2000,tammers,285xx,NC,1 year,0
15000,Btmason,288xx,NC,< 1 year,0
20000,G,881xx,NM,2 years,0
13000,terbehr,843xx,UT,10+ years,0
25000,evajones,988xx,WA,4 years,0
2000,Hismtngrl,806xx,CO,6 years,0
20000,singlemom71,717xx,AR,6 years,0
5250,musics,180xx,PA,< 1 year,0
4000,mfalette,985xx,WA,1 year,0
12000,legacy1,370xx,TN,< 1 year,0
2500,chappy84,479xx,IN,1 year,0
6000,Canisius College,142xx,NY,< 1 year,0
5000,Pandora46,216xx,MD,10+ years,0
10700,lynniea5,201xx,VA,< 1 year,0
3500,InjunNinja,325xx,FL,1 year,0
3000,fix1925,464xx,IN,10+ years,0
6500,cpetryk,074xx,NJ,4 years,0
15000,heyteacher,308xx,GA,10+ years,0
5000,Andrea Advincula,477xx,IN,3 years,0
20000,Skeeter,847xx,UT,1 year,0
18000,magoo69,605xx,IL,10+ years,0
5000,Willdukem07,136xx,NY,10+ years,0
5000,dwgallo,088xx,NJ,10+ years,0
3500,sharo41,765xx,TX,2 years,0
1000,teamgalvan,809xx,CO,2 years,0
2500,cebm82,310xx,GA,5 years,0
13000,Georgiadawgs45,305xx,GA,< 1 year,0
1000,CrawfordsGirl,551xx,MN,< 1 year,0
4000,SUZIEKLIND,557xx,MN,3 years,0
4000,semo_train,633xx,MO,< 1 year,0
25000,DedMansHnd,765xx,TX,10+ years,0
1000,psychnurse05,559xx,MN,4 years,0
500,lrod420,660xx,KS,< 1 year,0
25000,San_Diego,921xx,CO,1 year,0
5500,Kratos,207xx,MD,< 1 year,0
4000,ga71,300xx,GA,6 years,0
1000,zexzcbnbabe,323xx,FL,< 1 year,0
1000,Help rebuild Galveston,701xx,TX,10+ years,0
1000,Phill0046,274xx,NC,< 1 year,0
6000,singleteach,805xx,CO,7 years,0
1000,billkach,088xx,NJ,< 1 year,0
1000,orangeslices,440xx,OH,< 1 year,0
20000,I would be using this loan to pay off high interest credit cards and medical bills.,847xx,UT,3 years,0
5000,shameless,530xx,WI,10+ years,0
2500,roselyn26,967xx,HI,1 year,0
3000,Melodyrcr,708xx,LA,2 years,0
20000,CallianaThomas,100xx,NY,< 1 year,0
3000,samurai,089xx,NJ,< 1 year,0
1000,dswilliams17,794xx,TX,< 1 year,0
1500,undonefilms,030xx,NH,5 years,0
3500,momtojr,281xx,NC,10+ years,0
5000,ikrsone12,071xx,NJ,< 1 year,0
25000,so1oonnet,210xx,MD,< 1 year,0
1200,twinsno1,100xx,NY,< 1 year,0
3500,resanchez,800xx,CO,< 1 year,0
1000,bigtrav2207,640xx,MO,< 1 year,0
20000,ms,118xx,NY,5 years,0
4500,Miss Stephanie,104xx,NY,< 1 year,0
10000,Esp-sonia,331xx,FL,4 years,0
8000,Fresh start,487xx,MI,6 years,0
1500,cocovanilla,801xx,CO,< 1 year,0
1500,suprstrmandie,662xx,KS,2 years,0
2500,Veganshero,088xx,NJ,3 years,0
2500,meghanneedsyou,232xx,VA,< 1 year,0
15000,malcolmp,100xx,NY,< 1 year,0
5000,JBurt0n6,775xx,TX,3 years,0
3000,Backon Track,132xx,NY,3 years,0
2500,jenjenfrench,775xx,TX,< 1 year,0
25000,realestate1,080xx,NJ,10+ years,0
5500,rdleathers1386,303xx,GA,< 1 year,0
10000,thenewlight,021xx,MA,< 1 year,0
1500,aquinas02,641xx,MO,< 1 year,0
22000,john123,112xx,NY,1 year,0
1000,My credit card is charging me 14%,641xx,MO,4 years,0
20000,coldspring2000,410xx,KY,3 years,0
4000,datboyfine,191xx,PA,1 year,0
1000,sardonix,462xx,IN,2 years,0
1100,PositiveBlack,327xx,FL,< 1 year,0
25000,Saxwoman2,331xx,FL,< 1 year,0
8000,"I intend to use this loan to pay off a credit card and most of my overdraft protection, while reducing my monthly payments (if I get my target rate).",146xx,NY,4 years,0
6000,lisat041475,190xx,PA,9 years,0
5000,sydneyausguy,926xx,CT,< 1 year,0
15000,ttallent,379xx,TN,1 year,0
25000,lil_wagner,640xx,MO,< 1 year,0
3500,softwarez,333xx,FL,2 years,0
3000,salman_khan,114xx,NY,1 year,0
5000,kcgyrl79,997xx,AK,< 1 year,0
10500,CrimsonApache,366xx,AL,< 1 year,0
11000,dseuphoria,088xx,NJ,< 1 year,0
1000,Jrb04k,323xx,FL,1 year,0
8000,PhD Student,803xx,CO,5 years,0
13000,Tmilhon,322xx,FL,< 1 year,0
15000,Taylor20620,326xx,FL,1 year,0
8000,skeevysteve,021xx,MA,< 1 year,0
4500,gmonaco21,015xx,MA,< 1 year,0
21000,cleancredit,760xx,TX,< 1 year,0
15000,angeltorres,322xx,FL,2 years,0
5000,mgillispie,714xx,LA,< 1 year,0
20000,Help Me Pay Debt and Live Life again!!!,554xx,MN,1 year,0
500,dm210,207xx,MD,< 1 year,0
4000,kktally,300xx,GA,1 year,0
15000,Bud84clt,245xx,VA,7 years,0
1000,burdahgirl,303xx,GA,< 1 year,0
5000,sonyshox23,802xx,CO,3 years,0
925,sdawn07,802xx,CO,< 1 year,0
25000,finny311,100xx,NY,1 year,0
7500,CSM72,441xx,OH,4 years,0
2000,garyhanna,191xx,PA,3 years,0
5000,PopStarChic,480xx,MS,< 1 year,0
1000,makewild13,778xx,TX,1 year,0
10500,farrowm,138xx,NY,1 year,0
4000,Mac101,200xx,DC,< 1 year,0
4500,Mikri,142xx,NY,5 years,0
2500,ypastor,437xx,OH,4 years,0
8000,Meems,200xx,DC,< 1 year,0
2500,missreese,383xx,TN,10+ years,0
5000,newdeal80,681xx,NE,5 years,0
4000,mrhe,021xx,MA,2 years,0
2000,weazley,980xx,WA,2 years,0
1500,challenger73,473xx,IN,10+ years,0
500,hotelie2011,022xx,MA,< 1 year,0
1000,mrscott01,328xx,FL,< 1 year,0
1000,felise32,641xx,MO,< 1 year,0
9825,acordars,926xx,CA,2 years,0
1000,phlsphrwrt,531xx,WI,1 year,0
5000,jabruzzese,930xx,CA,6 years,0
8000,Pomegranate,402xx,KY,< 1 year,0
1000,svbennett20,357xx,AL,< 1 year,0
1000,jennbuggisbroke,304xx,GA,< 1 year,0
25000,Antgrant27,088xx,NJ,1 year,0
15000,dwelters,326xx,FL,7 years,0
3000,jake2089,080xx,NJ,< 1 year,0
2500,tony1976,300xx,GA,< 1 year,0
2500,jamal69,354xx,AL,< 1 year,0
1000,BgBoye,190xx,PA,< 1 year,0
2000,Krys1019,076xx,NJ,< 1 year,0
1000,stush1021,117xx,NY,< 1 year,0
2500,kg05,330xx,FL,< 1 year,0
25000,jmott428,156xx,PA,1 year,0
8300,JudithAnn7244,660xx,KS,7 years,0
500,kimmy4lsu,708xx,LA,< 1 year,0
1000,Summer Semester Help,981xx,WA,< 1 year,0
2000,naomicastillo,606xx,IN,1 year,0
10000,carlos_sarmiento,331xx,FL,10+ years,0
3500,ladybuggs,750xx,TX,1 year,0
5000,caseyj25,806xx,CO,4 years,0
6000,youngbizman,374xx,TN,< 1 year,0
3000,mom2gjs,664xx,KS,< 1 year,0
12000,Robzilla,276xx,NC,3 years,0
16000,iluvjesus,301xx,GA,2 years,0
5000,andrea1125,339xx,FL,1 year,0
5000,treyduffy,537xx,WI,< 1 year,0
10000,renornotty,551xx,MN,< 1 year,0
6000,jchristmn,681xx,NE,1 year,0
5000,frenchy,326xx,FL,< 1 year,0
5000,devon_craig,227xx,VA,1 year,0
12000,fbg,708xx,LA,3 years,0
20000,studiob,762xx,TX,3 years,0
1000,Blckdhliagrl,727xx,AR,< 1 year,0
20000,skiman40,730xx,OK,10+ years,0
10000,Richard0716,331xx,FL,4 years,0
2500,voteforeric,841xx,UT,1 year,0
3000,Mr.Mesofly,112xx,NY,< 1 year,0
1000,big_nour,554xx,MN,1 year,0
1000,bluewarrior07,282xx,NC,2 years,0
3000,strivingforward,325xx,FL,< 1 year,0
10000,bigredone,439xx,OH,10+ years,0
3000,kymberly,054xx,VT,2 years,0
3000,welderman,415xx,KY,1 year,0
1000,Twofast4u12,541xx,WI,1 year,0
4500,KevinT,282xx,NC,< 1 year,0
3500,csh0430,301xx,GA,10+ years,0
2500,rootsrundeep,474xx,IN,< 1 year,0
1000,CBear,740xx,OK,< 1 year,0
5000,aebennett,741xx,OK,2 years,0
4500,dvermulm,681xx,NE,< 1 year,0
2500,JEW0831,284xx,NC,< 1 year,0
8000,Keyoung,215xx,MD,7 years,0
6000,km36,463xx,IN,< 1 year,0
5000,patval,451xx,OH,1 year,0
15000,Consolidating,958xx,CA,10+ years,0
1000,MiMi77,346xx,FL,1 year,0
8000,Alex R,100xx,NY,1 year,0
5000,Erynnesmom,775xx,TX,8 years,0
5000,Jesseandshanon,775xx,TX,10+ years,0
10000,Wendigo,537xx,WI,< 1 year,0
20000,amaury73,331xx,FL,2 years,0
15000,stacyby,100xx,NY,3 years,0
2000,max1991,054xx,VT,8 years,0
7000,dulcinea2007,330xx,FL,< 1 year,0
4500,theteeshirtlady,270xx,NC,1 year,0
5000,markf78,226xx,VA,< 1 year,0
14000,TopVetTech,168xx,PA,7 years,0
25000,insurance needs capital to relocate /pur,134xx,NY,7 years,0
2300,chrissy,481xx,MI,9 years,0
1500,avalancheroy33,479xx,IN,< 1 year,0
5500,akademiks,072xx,NJ,< 1 year,0
2000,jb1552,730xx,OK,4 years,0
3500,daniel09,322xx,FL,< 1 year,0
8000,jcouch,473xx,IN,3 years,0
1000,butcherboy220,334xx,FL,10+ years,0
2000,ecs11,131xx,NY,2 years,0
1500,Crystopher,325xx,FL,< 1 year,0
12000,coppert,114xx,NY,10+ years,0
4500,medicalgirl1981,212xx,MD,1 year,0
500,joycespowell76,275xx,NC,1 year,0
15000,cindercell914,301xx,GA,< 1 year,0
3000,AskMatt,980xx,WA,< 1 year,0
3000,EduYankee,301xx,GA,< 1 year,0
3000,southfloridian,331xx,FL,1 year,0
6000,Coffeelovr5,441xx,OH,< 1 year,0
5000,LAO0911,631xx,MO,< 1 year,0
8000,wncgirl,287xx,NC,8 years,0
15000,Etrader77,434xx,OH,3 years,0
15000,KeeperEF,300xx,GA,2 years,0
5000,AngelMeagan,685xx,NE,< 1 year,0
3000,morgansuzi,282xx,NC,1 year,0
2000,Consolidate credit cards,681xx,NE,< 1 year,0
5000,whitpop85,477xx,IN,3 years,0
25000,cbowman,402xx,KY,1 year,0
12000,joshj0829,193xx,PA,4 years,0
2000,$~KING~$,333xx,FL,< 1 year,0
7000,streetforce1,100xx,NY,< 1 year,0
3000,Cute N Cuddly Couple Need Moving Help,840xx,UT,< 1 year,0
4750,Want to attend college,024xx,MA,< 1 year,0
6000,Expanding21,112xx,NY,4 years,0
2000,Cushie,986xx,WA,1 year,0
4000,HELP!!,606xx,IN,< 1 year,0
2000,"I'm working on building up my credit and looking to pay a few credit cards off. These interest rates are high, and I'm basically throwing away money every month on monthly fees, membership fees, annual fees, and high interest. Would love to just consolidate, get them paid off once and for all and close the accounts",440xx,OH,1 year,0
600,Karen Mae,016xx,MA,1 year,0
1000,sachinpatel17,334xx,FL,1 year,0
6000,Family Funtime - Used Jetboat Purchase,275xx,NC,10+ years,0
7500,Nick67,554xx,MN,< 1 year,0
15000,tSchulz,327xx,FL,2 years,0
3500,Honeymoon Expense,300xx,GA,1 year,0
1500,telcor,770xx,TX,1 year,0
13000,jenny88,981xx,WA,10+ years,0
25000,ksstormhunter,997xx,AK,10+ years,0
4500,debbie812,113xx,NY,10+ years,0
15000,juannunes,333xx,FL,2 years,0
1400,tallchick25,328xx,FL,1 year,0
1500,Donlo,530xx,WI,< 1 year,0
2000,rgbrock1,064xx,CT,3 years,0
1700,caspian915,112xx,NY,< 1 year,0
2000,jawbreaker,748xx,OK,10+ years,0
6000,melonee80,227xx,VA,3 years,0
20000,keishab912,315xx,GA,3 years,0
7500,helpourdaughter,028xx,RI,5 years,0
10000,lidarkeyes32,549xx,WI,< 1 year,0
7275,Lost with a soul.... ,212xx,MD,3 years,0
7500,2Be_Pennywise,212xx,MD,3 years,0
500,RBinAK,995xx,AK,< 1 year,0
7500,mickisue,551xx,MN,1 year,0
10000,joshaccardo,100xx,NY,1 year,0
7000,eeyore28,117xx,NY,1 year,0
3000,Iteachkids,201xx,VA,6 years,0
5000,msmkharmon,191xx,PA,3 years,0
5000,jaysun,206xx,MD,< 1 year,0
10000,texasrocks,761xx,TX,1 year,0
500,Help Please,088xx,NJ,1 year,0
25000,BuckTruck,320xx,FL,1 year,0
2500,adevens,532xx,WI,2 years,0
10000,tejada00,100xx,NY,2 years,0
1000,Animaluva,334xx,FL,6 years,0
2500,wolfbabeusa71,462xx,IN,< 1 year,0
2000,NCcarebear,283xx,NC,2 years,0
25000,livewealthy,021xx,MA,1 year,0
17000,mimi1011,282xx,NC,1 year,0
600,bward07,199xx,DE,< 1 year,0
13500,teacher1,233xx,VA,10+ years,0
7500,Sm-biz owner seeks loan,891xx,NV,3 years,0
10000,danomar200,330xx,FL,2 years,0
25000,tgrphillips,534xx,WI,2 years,0
10000,candela,331xx,FL,1 year,0
3500,flutterjenn,282xx,NC,< 1 year,0
1300,"Recently, I took my automobile to the dealership for a routine check-up.  I ended-up paying nearly $1700 to cover all the work that needed to be done.  Since I am fresh out of college, this is probably one of the worse thing that could have happened right now. This loan will allow me to cover all my basis so that I can pay my other expenses while trying to fill the hole that my car trouble have maid in my pocket.  Your help would be greatly appreciated.",303xx,GA,1 year,0
7000,ejohnson39154,391xx,MS,10+ years,0
20000,Sasha,479xx,IN,3 years,0
3500,vernsan,760xx,TX,1 year,0
6000,maria,333xx,FL,1 year,0
5000,maciel,333xx,FL,< 1 year,0
2000,paying debt,077xx,NJ,< 1 year,0
1500,cjustice,755xx,TX,5 years,0
3500,tranpir29,082xx,NJ,7 years,0
6000,LacyG,200xx,DC,10+ years,0
3300,lacydiva,071xx,NJ,1 year,0
1000,balik9201,151xx,PA,< 1 year,0
3000,tjhummel7,544xx,WI,< 1 year,0
7000,I am looking to consolidate high interest rate credit cards into one monthly payment and a set payoff schedule.  This will save me interest and money monthly.,681xx,NE,6 years,0
10000,dtslagle,465xx,IN,< 1 year,0
3000,FTL_Torgo,342xx,FL,2 years,0
1200,college210,282xx,NC,< 1 year,0
4100,urban513,088xx,NJ,2 years,0
10000,ajax6677,547xx,WI,3 years,0
2500,Omahajohn07,681xx,NE,1 year,0
10000,PC,910xx,CO,2 years,0
12000,bmxdmx,112xx,NY,6 years,0
3000,Joe,336xx,FL,2 years,0
5000,zoebee7001,010xx,MA,1 year,0
7500,searching101,541xx,WI,4 years,0
25000,rwestmore7,707xx,LA,2 years,0
1775,m0e74,020xx,MA,4 years,0
12000,mwichmann4,532xx,WI,< 1 year,0
5000,MatthewEdwards,750xx,TX,< 1 year,0
1000,Sean C.,983xx,WA,< 1 year,0
10000,ErikaAndrea,276xx,NC,1 year,0
3500,EricaS,756xx,TX,< 1 year,0
3500,ked55,782xx,TX,9 years,0
