loan_amnt,purpose,zip_code,State,emp_length,label
15000,credit_card,085xx,NJ,6 years,1
23100,car,197xx,DE,2 years,1
27300,home_improvement,117xx,NY,10+ years,1
25000,credit_card,774xx,TX,10+ years,1
15000,credit_card,787xx,TX,1 year,1
10000,debt_consolidation,447xx,OH,< 1 year,1
18500,debt_consolidation,752xx,TX,10+ years,1
5000,credit_card,434xx,OH,6 years,1
9000,debt_consolidation,670xx,KS,1 year,1
11000,credit_card,016xx,MA,10+ years,1
20000,debt_consolidation,381xx,TN,6 years,1
15000,debt_consolidation,236xx,VA,unknown,1
12000,debt_consolidation,850xx,AZ,4 years,1
8000,debt_consolidation,482xx,MI,< 1 year,1
12000,credit_card,070xx,NJ,3 years,1
18000,debt_consolidation,030xx,NH,5 years,1
3600,debt_consolidation,220xx,VA,< 1 year,1
7200,debt_consolidation,023xx,MA,9 years,1
15000,credit_card,347xx,FL,4 years,1
5000,other,280xx,NC,6 years,1
11550,credit_card,436xx,OH,5 years,1
33600,debt_consolidation,441xx,OH,8 years,1
17925,debt_consolidation,432xx,OH,10+ years,1
17475,debt_consolidation,604xx,IL,2 years,1
9000,debt_consolidation,346xx,FL,8 years,1
12000,debt_consolidation,660xx,KS,10+ years,1
4000,debt_consolidation,681xx,NE,2 years,1
10500,credit_card,661xx,KS,3 years,1
14000,medical,439xx,OH,4 years,1
6000,car,431xx,OH,10+ years,1
16000,home_improvement,064xx,CT,10+ years,1
15000,debt_consolidation,973xx,OR,3 years,1
12000,debt_consolidation,958xx,CA,4 years,1
10000,debt_consolidation,477xx,IN,2 years,1
4200,other,377xx,TN,2 years,1
35000,debt_consolidation,301xx,GA,8 years,1
5475,debt_consolidation,349xx,FL,10+ years,1
16000,debt_consolidation,323xx,FL,2 years,1
6000,debt_consolidation,282xx,NC,3 years,1
24000,debt_consolidation,029xx,RI,10+ years,1
10000,debt_consolidation,986xx,WA,< 1 year,1
6900,debt_consolidation,112xx,NY,10+ years,1
22400,credit_card,245xx,VA,10+ years,1
15975,debt_consolidation,910xx,CA,4 years,1
21600,debt_consolidation,544xx,WI,9 years,1
24000,credit_card,461xx,IN,8 years,1
14400,debt_consolidation,136xx,NY,3 years,1
8000,other,973xx,OR,< 1 year,1
7000,debt_consolidation,197xx,DE,2 years,1
20000,debt_consolidation,355xx,AL,< 1 year,1
25825,debt_consolidation,207xx,MD,6 years,1
24575,debt_consolidation,448xx,OH,10+ years,1
3200,medical,550xx,MN,10+ years,1
22875,debt_consolidation,913xx,CA,10+ years,1
16000,debt_consolidation,774xx,TX,10+ years,1
35000,debt_consolidation,551xx,MN,< 1 year,1
2400,home_improvement,462xx,IN,2 years,1
25000,debt_consolidation,498xx,MI,unknown,1
8800,credit_card,010xx,MA,2 years,1
2500,debt_consolidation,064xx,CT,unknown,1
8000,credit_card,481xx,MI,1 year,1
20000,debt_consolidation,357xx,AL,10+ years,1
35000,major_purchase,211xx,MD,10+ years,1
15000,debt_consolidation,913xx,CA,unknown,1
16000,debt_consolidation,088xx,NJ,1 year,1
10800,debt_consolidation,334xx,FL,3 years,1
7500,debt_consolidation,327xx,FL,10+ years,1
16000,debt_consolidation,111xx,NY,5 years,1
9000,credit_card,926xx,CA,10+ years,1
9500,other,480xx,MI,10+ years,1
10000,debt_consolidation,913xx,CA,2 years,1
6000,debt_consolidation,805xx,CO,10+ years,1
15600,major_purchase,138xx,NY,10+ years,1
35000,debt_consolidation,930xx,CA,< 1 year,1
5000,debt_consolidation,770xx,TX,9 years,1
20400,credit_card,725xx,AR,2 years,1
8000,debt_consolidation,711xx,LA,unknown,1
16000,debt_consolidation,604xx,IL,3 years,1
18000,debt_consolidation,172xx,PA,10+ years,1
35000,debt_consolidation,322xx,FL,1 year,1
13150,major_purchase,770xx,TX,1 year,1
5600,credit_card,751xx,TX,8 years,1
23000,credit_card,230xx,VA,9 years,1
12600,credit_card,206xx,MD,1 year,1
11000,debt_consolidation,606xx,IL,8 years,1
4000,debt_consolidation,113xx,NY,3 years,1
20000,debt_consolidation,596xx,MT,9 years,1
20000,debt_consolidation,234xx,VA,5 years,1
10000,credit_card,440xx,OH,10+ years,1
18850,debt_consolidation,894xx,NV,< 1 year,1
21000,debt_consolidation,146xx,NY,10+ years,1
10500,debt_consolidation,250xx,WV,4 years,1
4575,house,080xx,NJ,5 years,1
5000,other,031xx,NH,1 year,1
8000,home_improvement,028xx,RI,unknown,1
5000,debt_consolidation,208xx,MD,1 year,1
9075,credit_card,594xx,MT,10+ years,1
24000,debt_consolidation,242xx,VA,2 years,1
12500,credit_card,945xx,CA,10+ years,1
19600,debt_consolidation,038xx,NH,8 years,1
35000,debt_consolidation,347xx,FL,2 years,1
28000,debt_consolidation,301xx,GA,1 year,1
14000,debt_consolidation,770xx,TX,1 year,1
16000,credit_card,117xx,NY,unknown,1
14000,debt_consolidation,941xx,CA,4 years,1
24000,debt_consolidation,770xx,TX,8 years,1
35000,debt_consolidation,346xx,FL,6 years,1
14550,debt_consolidation,338xx,FL,10+ years,1
8000,credit_card,370xx,TN,< 1 year,1
32400,credit_card,782xx,TX,10+ years,1
3600,debt_consolidation,191xx,PA,1 year,1
10500,debt_consolidation,922xx,CA,10+ years,1
3000,home_improvement,906xx,CA,10+ years,1
16000,credit_card,104xx,NY,2 years,1
8000,debt_consolidation,158xx,PA,10+ years,1
19500,debt_consolidation,900xx,CA,< 1 year,1
2000,other,294xx,SC,8 years,1
16000,debt_consolidation,551xx,MN,8 years,1
3500,vacation,957xx,CA,8 years,1
14000,debt_consolidation,282xx,NC,4 years,1
24000,debt_consolidation,606xx,IL,3 years,1
6000,credit_card,113xx,NY,2 years,1
24000,debt_consolidation,490xx,MI,9 years,1
14875,debt_consolidation,370xx,TN,3 years,1
10000,other,210xx,MD,7 years,1
15000,credit_card,020xx,MA,2 years,1
10000,credit_card,468xx,IN,10+ years,1
18000,major_purchase,117xx,NY,10+ years,1
24000,debt_consolidation,800xx,CO,10+ years,1
23525,debt_consolidation,082xx,NJ,5 years,1
12000,credit_card,774xx,TX,10+ years,1
11000,other,207xx,MD,10+ years,1
24000,debt_consolidation,563xx,MN,2 years,1
15000,debt_consolidation,021xx,MA,8 years,1
16000,credit_card,786xx,TX,10+ years,1
15000,debt_consolidation,117xx,NY,5 years,1
5000,debt_consolidation,301xx,GA,8 years,1
19100,debt_consolidation,184xx,PA,10+ years,1
15000,credit_card,463xx,IN,3 years,1
30000,debt_consolidation,070xx,NJ,2 years,1
15000,credit_card,436xx,OH,10+ years,1
3500,other,906xx,CA,10+ years,1
20000,debt_consolidation,104xx,NY,2 years,1
10000,credit_card,601xx,IL,7 years,1
35000,debt_consolidation,750xx,TX,9 years,1
16000,credit_card,917xx,CA,10+ years,1
2000,other,607xx,IL,10+ years,1
12000,credit_card,770xx,TX,2 years,1
8000,credit_card,164xx,PA,1 year,1
10000,debt_consolidation,980xx,WA,10+ years,1
25000,credit_card,553xx,MN,10+ years,1
35000,debt_consolidation,956xx,CA,10+ years,1
25600,debt_consolidation,770xx,TX,3 years,1
4325,major_purchase,231xx,VA,10+ years,1
6000,credit_card,324xx,FL,10+ years,1
18200,credit_card,300xx,GA,8 years,1
10000,credit_card,554xx,MN,3 years,1
30000,debt_consolidation,207xx,MD,5 years,1
13200,home_improvement,773xx,TX,2 years,1
10000,debt_consolidation,600xx,IL,5 years,1
3000,debt_consolidation,751xx,TX,5 years,1
20000,debt_consolidation,341xx,FL,10+ years,1
13875,credit_card,704xx,LA,10+ years,1
18000,debt_consolidation,750xx,TX,10+ years,1
15225,debt_consolidation,366xx,AL,3 years,1
16000,debt_consolidation,327xx,FL,6 years,1
21000,other,940xx,CA,7 years,1
13000,debt_consolidation,967xx,HI,< 1 year,1
20000,major_purchase,917xx,CA,5 years,1
31075,credit_card,301xx,GA,10+ years,1
18000,credit_card,815xx,CO,10+ years,1
5000,other,825xx,WY,unknown,1
4675,credit_card,495xx,MI,< 1 year,1
6000,debt_consolidation,928xx,CA,4 years,1
12000,debt_consolidation,928xx,CA,10+ years,1
13000,home_improvement,852xx,AZ,10+ years,1
1800,other,140xx,NY,10+ years,1
4475,credit_card,380xx,TN,10+ years,1
14400,debt_consolidation,270xx,NC,8 years,1
5875,debt_consolidation,926xx,CA,5 years,1
20000,debt_consolidation,778xx,TX,7 years,1
10000,debt_consolidation,028xx,RI,5 years,1
34100,debt_consolidation,302xx,GA,8 years,1
24000,credit_card,021xx,MA,3 years,1
30000,debt_consolidation,530xx,WI,8 years,1
5200,debt_consolidation,750xx,TX,7 years,1
16800,debt_consolidation,805xx,CO,< 1 year,1
10000,debt_consolidation,080xx,NJ,7 years,1
22000,debt_consolidation,488xx,MI,10+ years,1
28000,debt_consolidation,618xx,IL,10+ years,1
7200,credit_card,376xx,TN,10+ years,1
18000,debt_consolidation,917xx,CA,9 years,1
8400,debt_consolidation,743xx,OK,1 year,1
5000,credit_card,191xx,PA,2 years,1
5000,debt_consolidation,939xx,CA,10+ years,1
2400,debt_consolidation,280xx,NC,5 years,1
15000,debt_consolidation,763xx,TX,9 years,1
6075,debt_consolidation,088xx,NJ,9 years,1
20000,debt_consolidation,600xx,IL,2 years,1
6025,debt_consolidation,027xx,MA,10+ years,1
8400,debt_consolidation,303xx,GA,2 years,1
15000,debt_consolidation,956xx,CA,2 years,1
19200,debt_consolidation,967xx,HI,10+ years,1
12000,debt_consolidation,945xx,CA,< 1 year,1
28800,home_improvement,201xx,VA,8 years,1
5000,debt_consolidation,917xx,CA,10+ years,1
5000,home_improvement,222xx,VA,7 years,1
31500,debt_consolidation,945xx,CA,10+ years,1
24000,debt_consolidation,940xx,CA,10+ years,1
20000,debt_consolidation,774xx,TX,< 1 year,1
24000,debt_consolidation,483xx,MI,2 years,1
21850,debt_consolidation,138xx,NY,10+ years,1
9500,home_improvement,357xx,AL,10+ years,1
20000,debt_consolidation,551xx,MN,10+ years,1
20000,credit_card,140xx,NY,8 years,1
20000,home_improvement,751xx,TX,10+ years,1
20000,credit_card,021xx,MA,< 1 year,1
25200,credit_card,234xx,VA,2 years,1
12000,credit_card,240xx,VA,10+ years,1
10000,debt_consolidation,365xx,AL,10+ years,1
12000,debt_consolidation,296xx,SC,10+ years,1
12000,debt_consolidation,312xx,GA,8 years,1
6425,debt_consolidation,088xx,NJ,1 year,1
12700,debt_consolidation,190xx,PA,3 years,1
35000,credit_card,116xx,NY,10+ years,1
16000,debt_consolidation,617xx,IL,5 years,1
15000,credit_card,890xx,NV,2 years,1
20550,debt_consolidation,891xx,NV,10+ years,1
25000,home_improvement,760xx,TX,10+ years,1
14000,debt_consolidation,940xx,CA,10+ years,1
16925,major_purchase,553xx,MN,10+ years,1
4700,debt_consolidation,331xx,FL,3 years,1
5000,debt_consolidation,416xx,KY,unknown,1
12000,debt_consolidation,302xx,GA,2 years,1
12000,debt_consolidation,210xx,MD,10+ years,1
15000,debt_consolidation,986xx,WA,1 year,1
4900,debt_consolidation,347xx,FL,2 years,1
18000,credit_card,653xx,MO,< 1 year,1
18000,debt_consolidation,806xx,CO,5 years,1
25000,debt_consolidation,350xx,AL,10+ years,1
15000,debt_consolidation,490xx,MI,10+ years,1
3600,car,610xx,IL,1 year,1
33000,other,201xx,VA,5 years,1
14950,debt_consolidation,541xx,WI,10+ years,1
15000,debt_consolidation,078xx,NJ,10+ years,1
7000,debt_consolidation,453xx,OH,2 years,1
15000,debt_consolidation,666xx,KS,10+ years,1
35000,debt_consolidation,641xx,MO,4 years,1
8000,credit_card,924xx,CA,unknown,1
20000,credit_card,117xx,NY,8 years,1
14375,debt_consolidation,760xx,TX,< 1 year,1
21000,debt_consolidation,019xx,MA,< 1 year,1
3700,debt_consolidation,244xx,VA,10+ years,1
8400,credit_card,030xx,NH,10+ years,1
7200,debt_consolidation,786xx,TX,1 year,1
16800,debt_consolidation,181xx,PA,8 years,1
9000,major_purchase,968xx,HI,7 years,1
6000,home_improvement,329xx,FL,6 years,1
34000,debt_consolidation,891xx,NV,7 years,1
20000,debt_consolidation,185xx,PA,10+ years,1
16000,debt_consolidation,070xx,NJ,10+ years,1
11200,debt_consolidation,027xx,MA,10+ years,1
21000,debt_consolidation,765xx,TX,10+ years,1
16000,credit_card,493xx,MI,10+ years,1
6000,debt_consolidation,404xx,KY,10+ years,1
9100,credit_card,454xx,OH,4 years,1
10000,other,377xx,TN,10+ years,1
28000,debt_consolidation,456xx,OH,3 years,1
30000,other,805xx,CO,1 year,1
8450,debt_consolidation,286xx,NC,10+ years,1
8775,credit_card,308xx,GA,10+ years,1
6000,debt_consolidation,774xx,TX,5 years,1
10000,debt_consolidation,820xx,WY,10+ years,1
10000,debt_consolidation,953xx,CA,4 years,1
7200,debt_consolidation,210xx,MD,3 years,1
20000,debt_consolidation,914xx,CA,5 years,1
20000,debt_consolidation,329xx,FL,2 years,1
5000,debt_consolidation,926xx,CA,8 years,1
15000,debt_consolidation,814xx,CO,< 1 year,1
23950,credit_card,193xx,PA,3 years,1
15000,debt_consolidation,325xx,FL,10+ years,1
2250,credit_card,463xx,IN,< 1 year,1
14000,debt_consolidation,707xx,LA,1 year,1
14000,debt_consolidation,902xx,CA,2 years,1
18000,debt_consolidation,236xx,VA,3 years,1
12000,other,209xx,MD,3 years,1
5600,credit_card,217xx,MD,10+ years,1
35000,debt_consolidation,922xx,CA,1 year,1
8000,other,310xx,GA,3 years,1
2400,debt_consolidation,981xx,WA,3 years,1
35000,debt_consolidation,342xx,FL,< 1 year,1
35000,credit_card,284xx,NC,10+ years,1
7000,other,850xx,AZ,10+ years,1
8000,debt_consolidation,974xx,OR,2 years,1
6125,debt_consolidation,142xx,NY,4 years,1
10400,debt_consolidation,631xx,MO,10+ years,1
30000,debt_consolidation,358xx,AL,5 years,1
4000,debt_consolidation,601xx,IL,5 years,1
10000,debt_consolidation,347xx,FL,10+ years,1
16000,debt_consolidation,401xx,KY,< 1 year,1
24000,home_improvement,130xx,NY,10+ years,1
19225,debt_consolidation,451xx,OH,< 1 year,1
13000,home_improvement,740xx,OK,5 years,1
16800,debt_consolidation,441xx,OH,7 years,1
2000,credit_card,212xx,MD,3 years,1
19200,debt_consolidation,293xx,SC,< 1 year,1
10000,debt_consolidation,925xx,CA,10+ years,1
35000,debt_consolidation,112xx,NY,4 years,1
15000,debt_consolidation,351xx,AL,10+ years,1
35000,debt_consolidation,287xx,NC,< 1 year,1
18000,credit_card,453xx,OH,< 1 year,1
8000,debt_consolidation,945xx,CA,6 years,1
15000,debt_consolidation,852xx,AZ,10+ years,1
17400,debt_consolidation,973xx,OR,10+ years,1
35000,credit_card,373xx,TN,10+ years,1
12000,debt_consolidation,601xx,IL,3 years,1
24000,debt_consolidation,925xx,CA,10+ years,1
8000,home_improvement,773xx,TX,5 years,1
16775,debt_consolidation,300xx,GA,1 year,1
8000,credit_card,850xx,AZ,3 years,1
21000,debt_consolidation,801xx,CO,< 1 year,1
20000,other,336xx,FL,2 years,1
10000,credit_card,974xx,OR,< 1 year,1
6000,debt_consolidation,277xx,NC,< 1 year,1
6000,debt_consolidation,070xx,NJ,unknown,1
8400,credit_card,146xx,NY,< 1 year,1
10000,credit_card,968xx,HI,10+ years,1
6000,credit_card,805xx,CO,2 years,1
20000,credit_card,100xx,NY,10+ years,1
4600,credit_card,333xx,FL,unknown,1
20000,other,283xx,NC,10+ years,1
15000,credit_card,951xx,CA,2 years,1
12000,debt_consolidation,852xx,AZ,4 years,1
5000,debt_consolidation,280xx,NC,10+ years,1
6000,debt_consolidation,211xx,MD,< 1 year,1
10050,credit_card,432xx,OH,10+ years,1
6000,debt_consolidation,131xx,NY,10+ years,1
28000,debt_consolidation,922xx,CA,10+ years,1
15000,credit_card,752xx,TX,3 years,1
10500,other,757xx,TX,10+ years,1
10000,debt_consolidation,018xx,MA,3 years,1
3600,debt_consolidation,481xx,MI,< 1 year,1
10000,other,201xx,VA,10+ years,1
30000,credit_card,890xx,NV,10+ years,1
8000,debt_consolidation,117xx,NY,2 years,1
15000,debt_consolidation,066xx,CT,1 year,1
21600,debt_consolidation,802xx,CO,2 years,1
12000,credit_card,372xx,TN,10+ years,1
28000,credit_card,460xx,IN,8 years,1
6400,credit_card,331xx,FL,10+ years,1
15000,car,113xx,NY,10+ years,1
13000,credit_card,787xx,TX,2 years,1
10000,credit_card,060xx,CT,3 years,1
24800,debt_consolidation,800xx,CO,10+ years,1
12000,other,720xx,AR,10+ years,1
10800,car,282xx,NC,9 years,1
15000,debt_consolidation,919xx,CA,1 year,1
24000,credit_card,070xx,NJ,3 years,1
2000,debt_consolidation,420xx,KY,10+ years,1
22600,debt_consolidation,925xx,CA,3 years,1
13500,debt_consolidation,328xx,FL,10+ years,1
6000,car,553xx,MN,10+ years,1
20000,credit_card,261xx,WV,10+ years,1
5000,debt_consolidation,034xx,NH,10+ years,1
20000,credit_card,015xx,MA,10+ years,1
12000,debt_consolidation,221xx,VA,10+ years,1
32000,credit_card,050xx,VT,10+ years,1
15200,debt_consolidation,637xx,MO,10+ years,1
12500,debt_consolidation,286xx,NC,< 1 year,1
21000,debt_consolidation,462xx,IN,4 years,1
16000,credit_card,681xx,NE,3 years,1
24650,debt_consolidation,961xx,CA,10+ years,1
11000,debt_consolidation,450xx,OH,3 years,1
22400,credit_card,028xx,RI,10+ years,1
15125,debt_consolidation,339xx,FL,10+ years,1
8725,debt_consolidation,645xx,MO,10+ years,1
8000,debt_consolidation,750xx,TX,10+ years,1
8000,major_purchase,908xx,CA,2 years,1
11000,home_improvement,021xx,MA,2 years,1
11725,debt_consolidation,958xx,CA,5 years,1
28500,debt_consolidation,981xx,WA,< 1 year,1
25000,credit_card,770xx,TX,5 years,1
7000,moving,900xx,CA,5 years,1
12000,debt_consolidation,601xx,IL,< 1 year,1
20000,credit_card,400xx,KY,10+ years,1
5875,debt_consolidation,604xx,IL,10+ years,1
18000,debt_consolidation,945xx,CA,10+ years,1
28000,home_improvement,980xx,WA,1 year,1
35000,moving,941xx,CA,10+ years,1
31800,debt_consolidation,722xx,AR,< 1 year,1
25000,debt_consolidation,201xx,VA,10+ years,1
16000,debt_consolidation,104xx,NY,6 years,1
25000,credit_card,430xx,OH,10+ years,1
35000,credit_card,945xx,CA,5 years,1
18000,credit_card,347xx,FL,1 year,1
10000,debt_consolidation,152xx,PA,< 1 year,1
8000,credit_card,967xx,HI,2 years,1
12000,debt_consolidation,410xx,KY,10+ years,1
15000,debt_consolidation,077xx,NJ,unknown,1
20000,house,276xx,NC,4 years,1
14000,small_business,377xx,TN,10+ years,1
20500,debt_consolidation,956xx,CA,unknown,1
4700,debt_consolidation,231xx,VA,4 years,1
28000,debt_consolidation,945xx,CA,4 years,1
12000,debt_consolidation,376xx,TN,10+ years,1
7200,credit_card,331xx,FL,< 1 year,1
11000,debt_consolidation,199xx,DE,unknown,1
11000,debt_consolidation,925xx,CA,5 years,1
3500,car,531xx,WI,1 year,1
23850,major_purchase,935xx,CA,3 years,1
3600,other,058xx,VT,3 years,1
15000,debt_consolidation,774xx,TX,2 years,1
16500,credit_card,973xx,OR,10+ years,1
8275,credit_card,082xx,NJ,unknown,1
35000,home_improvement,806xx,CO,< 1 year,1
20000,debt_consolidation,021xx,MA,< 1 year,1
22800,debt_consolidation,142xx,NY,6 years,1
10000,credit_card,388xx,MS,4 years,1
19000,debt_consolidation,070xx,NJ,10+ years,1
18000,debt_consolidation,970xx,OR,5 years,1
6000,debt_consolidation,972xx,OR,2 years,1
35000,credit_card,156xx,PA,10+ years,1
6000,debt_consolidation,773xx,TX,10+ years,1
16000,debt_consolidation,070xx,NJ,< 1 year,1
5000,debt_consolidation,152xx,PA,unknown,1
3000,house,113xx,NY,1 year,1
20000,other,100xx,NY,10+ years,1
24000,debt_consolidation,773xx,TX,6 years,1
20000,debt_consolidation,751xx,TX,10+ years,1
8000,major_purchase,431xx,OH,< 1 year,1
5000,debt_consolidation,760xx,TX,< 1 year,1
20000,debt_consolidation,117xx,NY,10+ years,1
5000,debt_consolidation,925xx,CA,6 years,1
30425,credit_card,539xx,WI,9 years,1
12000,debt_consolidation,934xx,CA,5 years,1
19675,debt_consolidation,208xx,MD,< 1 year,1
24000,home_improvement,605xx,IL,3 years,1
12000,debt_consolidation,191xx,PA,2 years,1
12000,debt_consolidation,960xx,CA,4 years,1
28000,credit_card,802xx,CO,2 years,1
14000,credit_card,100xx,NY,7 years,1
9975,other,920xx,CA,9 years,1
10000,debt_consolidation,972xx,OR,8 years,1
3600,credit_card,280xx,NC,5 years,1
27850,debt_consolidation,488xx,MI,10+ years,1
14000,credit_card,700xx,LA,4 years,1
12475,credit_card,921xx,CA,2 years,1
24000,credit_card,646xx,MO,1 year,1
22400,debt_consolidation,760xx,TX,3 years,1
26000,credit_card,360xx,AL,6 years,1
25000,home_improvement,358xx,AL,unknown,1
14000,credit_card,605xx,IL,10+ years,1
10000,debt_consolidation,116xx,NY,8 years,1
18300,debt_consolidation,114xx,NY,10+ years,1
11550,credit_card,993xx,WA,unknown,1
14000,credit_card,241xx,VA,6 years,1
9000,credit_card,085xx,NJ,10+ years,1
8000,debt_consolidation,660xx,KS,3 years,1
11000,other,608xx,IL,2 years,1
11200,credit_card,278xx,NC,2 years,1
21000,debt_consolidation,393xx,MS,2 years,1
35000,debt_consolidation,112xx,NY,10+ years,1
20000,credit_card,141xx,NY,3 years,1
24000,debt_consolidation,902xx,CA,10+ years,1
19800,debt_consolidation,322xx,FL,3 years,1
30000,debt_consolidation,783xx,TX,9 years,1
28000,credit_card,301xx,GA,3 years,1
13475,debt_consolidation,495xx,MI,6 years,1
27300,debt_consolidation,871xx,NM,4 years,1
10000,credit_card,336xx,FL,9 years,1
24000,credit_card,604xx,IL,10+ years,1
1450,home_improvement,246xx,VA,2 years,1
4000,debt_consolidation,124xx,NY,2 years,1
1000,major_purchase,875xx,NM,10+ years,1
24950,major_purchase,333xx,FL,5 years,1
25000,home_improvement,333xx,FL,10+ years,1
6000,other,982xx,WA,10+ years,1
21000,debt_consolidation,300xx,GA,< 1 year,1
2950,debt_consolidation,484xx,MI,unknown,1
33100,debt_consolidation,359xx,AL,10+ years,1
6000,debt_consolidation,801xx,CO,10+ years,1
14400,debt_consolidation,330xx,FL,5 years,1
10500,debt_consolidation,294xx,SC,1 year,1
12000,debt_consolidation,178xx,PA,5 years,1
20000,credit_card,606xx,IL,10+ years,1
10000,other,881xx,NM,1 year,1
35000,debt_consolidation,207xx,MD,< 1 year,1
9525,credit_card,943xx,CA,6 years,1
20000,debt_consolidation,926xx,CA,2 years,1
14450,debt_consolidation,295xx,SC,7 years,1
21600,debt_consolidation,770xx,TX,3 years,1
12600,credit_card,112xx,NY,1 year,1
35000,debt_consolidation,481xx,MI,10+ years,1
14800,debt_consolidation,985xx,WA,7 years,1
20000,debt_consolidation,089xx,NJ,1 year,1
9600,debt_consolidation,913xx,CA,10+ years,1
11900,home_improvement,150xx,PA,3 years,1
20800,credit_card,223xx,VA,< 1 year,1
30000,credit_card,338xx,FL,10+ years,1
12000,credit_card,339xx,FL,3 years,1
5000,home_improvement,276xx,NC,2 years,1
15000,debt_consolidation,071xx,NJ,2 years,1
18900,debt_consolidation,224xx,VA,5 years,1
5000,debt_consolidation,226xx,VA,10+ years,1
19850,credit_card,113xx,NY,7 years,1
8000,debt_consolidation,220xx,VA,2 years,1
20000,debt_consolidation,480xx,MI,4 years,1
20000,debt_consolidation,681xx,NE,10+ years,1
18000,debt_consolidation,080xx,NJ,7 years,1
28000,debt_consolidation,935xx,CA,8 years,1
12000,debt_consolidation,907xx,CA,3 years,1
15000,debt_consolidation,752xx,TX,4 years,1
30000,credit_card,945xx,CA,3 years,1
17000,credit_card,150xx,PA,5 years,1
12000,debt_consolidation,913xx,CA,10+ years,1
15750,debt_consolidation,662xx,KS,8 years,1
5000,major_purchase,770xx,TX,10+ years,1
24000,debt_consolidation,463xx,IN,10+ years,1
15000,debt_consolidation,241xx,VA,10+ years,1
30000,home_improvement,140xx,NY,10+ years,1
